Variable,Category,Count,Percentage
Endurance sport,No,104,67.53
Endurance sport,Yes,48,31.17
Endurance sport,,2,1.3
Have you ever been diagnosed with an eating disorder?,No,140,90.91
Have you ever been diagnosed with an eating disorder?,Yes,12,7.79
Have you ever been diagnosed with an eating disorder?,,2,1.3
Have you every been told you should change your weight?,No,79,51.3
Have you every been told you should change your weight?,Yes,73,47.4
Have you every been told you should change your weight?,,2,1.3
Weight-sensitive sport,No,100,64.94
Weight-sensitive sport,Yes,52,33.77
Weight-sensitive sport,,2,1.3
What is your gender? - Selected Choice,Female,93,60.39
What is your gender? - Selected Choice,Male,59,38.31
What is your gender? - Selected Choice,,2,1.3
What is your year in school? - Selected Choice,1st Year,42,27.27
What is your year in school? - Selected Choice,2nd Year,21,13.64
What is your year in school? - Selected Choice,3rd Year,37,24.03
What is your year in school? - Selected Choice,4th Year,32,20.78
What is your year in school? - Selected Choice,5th Year,16,10.39
What is your year in school? - Selected Choice,6th Year,4,2.6
What is your year in school? - Selected Choice,,2,1.3
What school do you attend? - Selected Choice,AoA,16,10.39
What school do you attend? - Selected Choice,Cal,98,63.64
What school do you attend? - Selected Choice,Other,1,0.65
What school do you attend? - Selected Choice,USF,37,24.03
What school do you attend? - Selected Choice,,2,1.3
